Symbol,Trading
ABJ,28-Dec-16
ACG,22-Jun-15
ACM,11-Mar-15
ADX,15-Mar-11
AFD,13-Mar-15
AFI,30-May-14
AHG,24-Jan-17
AKE,25-Jul-14
ALQ,20-Sep-16
AMC,07-Jan-16
AMP,19-Aug-14
AMS,20-Aug-14
AOC,13-Jul-17
APG,02-Oct-15
API,19-Jun-14
APP,18-Apr-17
AQC,21-Jun-17
ARM,15-Oct-09
ARO,04-Feb-11
ARQ,22-Sep-16
ARV,23-Jan-17
ASE,28-May-15
ATT,23-Dec-10
AVM,20-Jan-16
AXC,10-Mar-16
AYD,12-Mar-15
AYL,17-Sep-13
BAC,02-Dec-10
BCA,14-Mar-16
BCC,27-Jan-16
BDR,07-Feb-11
BE,31-Dec-15
BIS,04-Jun-14
BKS,21-Jul-10
BLA,02-Jun-14
BLO,24-Jun-14
BOT,24-Sep-15
BRH,10-Sep-15
BTH,01-Feb-16
BUX,03-Nov-14
BVQ,12-Feb-15
BWC,17-Jun-15
BZI,12-Feb-14
CAI,08-Aug-17
CBK,07-Nov-14
CBP,07-Oct-13
CCR,08-Sep-17
CEG,26-Aug-14
CFE,29-Jan-13
CHM,04-Aug-17
CHV,09-Nov-16
CHX,18-Sep-14
CIM,09-May-16
CK,12-Sep-13
CMC,03-Aug-11
CME,02-Jul-13
CMS,08-Apr-14
CND,17-Apr-13
CNI,01-Dec-16
CO,29-Mar-17
COPR,28-Aug-17
CRI,31-Oct-14
CRL,21-Jan-15
CRZ,08-Dec-16
CXC,11-Dec-14
CYC,29-Jun-17
CZC,22-Feb-08
DDB,30-Mar-15
DDI,13-Dec-11
DEP,22-Dec-11
DHC,07-Oct-14
DLE,16-Oct-15
DNI,24-Dec-15
DOJA ,09-Aug-17
DPC,16-May-11
DST,08-Apr-14
DVR,19-Jul-16
EA,20-Feb-15
EAC,17-Apr-14
EAT,23-Mar-15
ECU,07-Nov-14
EI,31-Mar-09
EPY,23-Nov-16
ETI,30-Mar-17
EVA,19-Sep-16
EVG,25-Jul-14
EVI,13-Jul-16
EX,30-Apr-15
EZM,05-Feb-16
FAT,12-Dec-11
FDM,03-Aug-16
FFT,02-Feb-17
FIN,26-Sep-11
FLT,16-Jun-16
FNAU,31-Aug-17
FNQ,01-Nov-16
FOX,02-Feb-16
FTY,02-Nov-12
GBC,17-Apr-13
GCA,30-Oct-15
GCIT,31-Aug-17
GET,07-Se-16
GFI,08-Jul-13
GHG,25-Mar-14
GL,31-Dec-14
GLH,14-Oct-15
GLR,10-Aug-09
GNI,13-Feb-14
GOR,30-Jul-14
GPC,18-May-16
GPK,15-Sep-14
GT,14-Dec-09
GTI,29-Oct-04
GVE,10-May-10
HC,08-Sep-14
HGP,29-Apr-14
HHS,31-Aug-06
HM,10-Dec-12
HP,13-May-16
HS,30-Nov-15
IAN,07-Se-16
IBAT,29-Aug-17
IDK,23-Jun-16
IGN,25-Mar-15
IME,24-Feb-16
IN,21-Oct-14
INR,03-Sep-14
IP,09-May-16
IRV,23-Dec-15
ISM,05-Feb-16
ISOL,09-Jun-17
ITR,22-Aug-17
ITV,21-Apr-14
J,08-Dec-14
JBR,30-Oct-14
JDF,24-Aug-15
JEM,02-Aug-13
JGW,12-Mar-15
JJJ,07-Jul-14
JOB,24-Oct-16
KBB,05-Nov-14
KDZ,12-Jan-12
KNR,09-Aug-16
KOT,15-Jan-14
KRI,14-May-12
KWG,31-Dec-09
LAI,14-Dec-07
LAN,22-Feb-16
LDS,06-May-15
LEO,16-Aug-13
LGM,23-Jun-14
LHS,26-Jul-17
LIB,21-Oct-16
LION,14-Jul-17
LLP,03-Dec-15
LNB,09-May-17
LOTO,23-May-17
LSL,19-May-17
LUX,17-Oct-12
LVI,20-Jun-16
LXX,28-Oct-09
MARI,24-Apr-17
MBE,20-Oct-15
MCL,11-Sep-07
MDD,28-May-15
MDM,08-May-15
MEC,06-Sep-11
MIRL,03-Feb-17
MIS,21-Mar-11
MJ,09-Feb-15
MLK,30-Oct-12
MMI,16-Dec-15
MMJ,04-Jul-14
MOG,09-Jan-12
MONT,27-Mar-17
MOS,20-Feb-15
MQ,27-Jan-15
MRM,21-Jan-09
MTA,07-Dec-16
MUR,19-Jun-14
MVT,02-Jul-13
MY,13-Feb-15
MYM,19-Sep-14
MYR,15-May-15
